,workerId,treatment,initialDecision,shareWillingness,finalDecision,newsIndex,time,mlCorrectness,finalCorrectness,label
97,216,0.0,-1,80.0,-1,19.0,Tue Dec 21 2021 13:10:54 GMT-0600 (Central Standard Time),False,False,1
100,299,0.0,1,50.0,1,6.0,Wed Dec 22 2021 10:13:53 GMT-0500 (Eastern Standard Time),True,True,1
104,474,2.0,1,80.0,-1,29.0,Wed Dec 22 2021 20:59:38 GMT-0500 (Eastern Standard Time),True,True,-1
109,285,0.0,-1,0.0,-1,22.0,Tue Dec 21 2021 15:18:05 GMT-0800 (Pacific Standard Time),True,True,-1
118,27,2.0,1,70.0,-1,30.0,Thu Dec 23 2021 12:43:50 GMT-0800 (Pacific Standard Time),True,True,-1
119,188,0.0,-1,100.0,-1,29.0,Tue Dec 21 2021 12:55:53 GMT-0500 (Eastern Standard Time),True,True,-1
133,228,0.0,1,60.0,1,8.0,Thu Dec 23 2021 10:28:29 GMT-0800 (Pacific Standard Time),False,True,1
139,183,0.0,-1,20.0,-1,21.0,Thu Dec 23 2021 15:40:30 GMT-0500 (Eastern Standard Time),True,True,-1
148,57,0.0,1,30.0,1,28.0,Thu Dec 23 2021 15:21:37 GMT-0600 (Central Standard Time),True,False,-1
149,78,0.0,1,60.0,1,6.0,Wed Dec 22 2021 11:25:44 GMT-0800 (Pacific Standard Time),True,True,1
157,380,0.0,1,70.0,1,4.0,Thu Dec 23 2021 15:53:33 GMT-0500 (Eastern Standard Time),True,True,1
160,305,0.0,1,80.0,1,28.0,Tue Dec 21 2021 11:34:00 GMT-0600 (Central Standard Time),True,False,-1
162,136,1.0,1,80.0,1,6.0,Tue Dec 21 2021 12:05:44 GMT-0500 (Eastern Standard Time),True,True,1
168,18,0.0,1,80.0,1,13.0,Wed Dec 22 2021 13:43:55 GMT-0800 (Pacific Standard Time),True,True,1
177,408,0.0,1,70.0,1,13.0,Tue Dec 21 2021 14:38:00 GMT-0500 (Eastern Standard Time),True,True,1
178,267,2.0,-1,10.0,-1,20.0,Wed Dec 22 2021 10:26:38 GMT-0600 (Central Standard Time),True,True,-1
181,163,2.0,1,70.0,1,17.0,Tue Dec 21 2021 11:56:42 GMT-0600 (Central Standard Time),True,True,1
204,136,1.0,1,40.0,1,29.0,Tue Dec 21 2021 12:05:34 GMT-0500 (Eastern Standard Time),True,False,-1
207,25,2.0,1,40.0,-1,31.0,Tue Dec 21 2021 13:17:11 GMT-0800 (Pacific Standard Time),True,True,-1
208,35,1.0,-1,40.0,-1,26.0,Tue Dec 21 2021 11:58:28 GMT-0600 (Central Standard Time),True,True,-1
209,104,1.0,1,50.0,1,4.0,Thu Dec 23 2021 13:18:03 GMT-0500 (Eastern Standard Time),True,True,1
212,34,2.0,1,60.0,1,32.0,Wed Dec 22 2021 10:38:51 GMT-0500 (Eastern Standard Time),True,False,-1
214,69,0.0,1,0.0,1,6.0,Wed Dec 22 2021 14:17:52 GMT-0800 (Pacific Standard Time),True,True,1
225,174,0.0,-1,0.0,-1,34.0,Wed Dec 22 2021 10:46:19 GMT-0800 (Pacific Standard Time),True,True,-1
237,115,2.0,-1,60.0,-1,24.0,Tue Dec 21 2021 15:31:10 GMT-0600 (Central Standard Time),True,True,-1
242,268,2.0,1,90.0,1,27.0,Tue Dec 21 2021 16:42:07 GMT-0500 (GMT-05:00),True,False,-1
244,175,1.0,-1,60.0,-1,11.0,Tue Dec 21 2021 13:04:37 GMT-0600 (Central Standard Time),True,False,1
248,398,0.0,1,30.0,1,28.0,Tue Dec 21 2021 12:45:18 GMT-0500 (Eastern Standard Time),True,False,-1
250,297,0.0,1,90.0,1,17.0,Thu Dec 23 2021 21:13:45 GMT-0600 (Central Standard Time),True,True,1
251,172,1.0,-1,80.0,-1,20.0,Wed Dec 22 2021 14:27:43 GMT-0600 (Central Standard Time),True,True,-1
257,148,1.0,-1,70.0,-1,35.0,Wed Dec 22 2021 11:55:37 GMT-0800 (Pacific Standard Time),False,True,-1
264,456,1.0,1,60.0,1,0.0,Wed Dec 22 2021 10:17:44 GMT-0800 (Pacific Standard Time),True,True,1
267,207,0.0,1,100.0,1,4.0,Wed Dec 22 2021 15:34:40 GMT-0500 (Eastern Standard Time),True,True,1
271,5,1.0,1,60.0,1,0.0,Thu Dec 23 2021 15:59:49 GMT-0800 (Pacific Standard Time),True,True,1
274,188,0.0,1,70.0,1,3.0,Tue Dec 21 2021 12:54:26 GMT-0500 (Eastern Standard Time),True,True,1
277,207,0.0,1,90.0,1,32.0,Wed Dec 22 2021 15:36:34 GMT-0500 (Eastern Standard Time),True,False,-1
283,230,1.0,1,90.0,1,6.0,Wed Dec 22 2021 10:49:20 GMT-0600 (Central Standard Time),True,True,1
284,195,2.0,1,50.0,1,32.0,Thu Dec 23 2021 16:10:43 GMT-0600 (Central Standard Time),True,False,-1
290,77,2.0,1,80.0,-1,29.0,Tue Dec 21 2021 17:29:55 GMT-0600 (Central Standard Time),True,True,-1
291,374,0.0,1,60.0,1,11.0,Tue Dec 21 2021 14:25:51 GMT-0500 (Eastern Standard Time),True,True,1
305,151,2.0,-1,80.0,-1,26.0,Wed Dec 22 2021 12:52:29 GMT-0500 (Eastern Standard Time),True,True,-1
308,89,2.0,1,70.0,1,38.0,Wed Dec 22 2021 15:20:34 GMT-0500 (Eastern Standard Time),False,False,-1
313,303,1.0,-1,50.0,-1,0.0,Tue Dec 21 2021 14:38:37 GMT-0500 (Eastern Standard Time),True,False,1
320,459,0.0,1,90.0,1,19.0,Tue Dec 21 2021 15:54:37 GMT-0600 (Central Standard Time),False,True,1
334,437,0.0,-1,30.0,-1,6.0,Wed Dec 22 2021 11:01:25 GMT-0800 (Pacific Standard Time),True,False,1
342,385,1.0,1,90.0,1,38.0,Tue Dec 21 2021 16:15:20 GMT-0800 (Pacific Standard Time),False,False,-1
344,143,2.0,-1,90.0,1,26.0,Wed Dec 22 2021 12:16:44 GMT-0500 (Eastern Standard Time),True,False,-1
346,358,1.0,1,60.0,1,25.0,Tue Dec 21 2021 16:00:59 GMT-0500 (Eastern Standard Time),False,False,-1
349,82,1.0,1,60.0,1,12.0,Thu Dec 23 2021 15:20:57 GMT-0500 (Eastern Standard Time),True,True,1
352,6,2.0,1,50.0,-1,9.0,Tue Dec 21 2021 12:14:23 GMT-0500 (Eastern Standard Time),False,False,1
367,52,0.0,1,70.0,1,38.0,Wed Dec 22 2021 12:16:42 GMT-0500 (Eastern Standard Time),False,False,-1
368,398,0.0,1,50.0,1,11.0,Tue Dec 21 2021 12:46:38 GMT-0500 (Eastern Standard Time),True,True,1
371,118,2.0,1,0.0,-1,32.0,Wed Dec 22 2021 11:58:40 GMT-0500 (Eastern Standard Time),True,True,-1
381,192,1.0,-1,100.0,-1,15.0,Wed Dec 22 2021 11:10:43 GMT-0600 (Central Standard Time),True,False,1
386,216,0.0,-1,90.0,-1,28.0,Tue Dec 21 2021 13:18:13 GMT-0600 (Central Standard Time),True,True,-1
387,403,1.0,1,70.0,1,1.0,Wed Dec 22 2021 15:42:09 GMT-0500 (Eastern Standard Time),True,True,1
388,385,1.0,-1,80.0,-1,28.0,Tue Dec 21 2021 16:17:03 GMT-0800 (Pacific Standard Time),True,True,-1
394,195,2.0,1,60.0,1,24.0,Thu Dec 23 2021 16:09:10 GMT-0600 (Central Standard Time),True,False,-1
395,334,1.0,-1,0.0,-1,29.0,Wed Dec 22 2021 15:30:18 GMT-0500 (Eastern Standard Time),True,True,-1
397,146,2.0,1,90.0,1,0.0,Wed Dec 22 2021 02:49:59 GMT-0500 (Eastern Standard Time),True,True,1
398,348,0.0,1,100.0,1,12.0,Tue Dec 21 2021 16:48:56 GMT-0600 (Central Standard Time),True,True,1
401,26,0.0,1,70.0,1,17.0,Tue Dec 21 2021 12:55:58 GMT-0500 (Eastern Standard Time),True,True,1
404,313,2.0,1,60.0,-1,7.0,Wed Dec 22 2021 11:30:51 GMT-0500 (Eastern Standard Time),True,False,1
405,16,0.0,1,0.0,1,16.0,Wed Dec 22 2021 17:20:06 GMT-0500 (Eastern Standard Time),False,True,1
408,365,1.0,-1,70.0,-1,18.0,Wed Dec 22 2021 14:04:27 GMT-0500 (Colombia Standard Time),False,False,1
409,401,2.0,-1,80.0,-1,29.0,Mon Dec 27 2021 14:23:25 GMT-0600 (Central Standard Time),True,True,-1
410,195,2.0,1,60.0,1,38.0,Thu Dec 23 2021 16:08:11 GMT-0600 (Central Standard Time),False,False,-1
414,260,1.0,1,80.0,1,5.0,Thu Dec 23 2021 13:27:28 GMT-0600 (Central Standard Time),True,True,1
415,109,1.0,1,100.0,1,17.0,Thu Dec 23 2021 10:23:37 GMT-0600 (Central Standard Time),True,True,1
420,98,1.0,1,20.0,1,29.0,Wed Dec 22 2021 10:59:21 GMT-0500 (Eastern Standard Time),True,False,-1
422,10,0.0,1,90.0,1,3.0,Tue Dec 21 2021 12:01:20 GMT-0600 (Central Standard Time),True,True,1
425,398,0.0,1,30.0,1,37.0,Tue Dec 21 2021 12:44:57 GMT-0500 (Eastern Standard Time),False,False,-1
428,213,2.0,-1,80.0,-1,16.0,Tue Dec 21 2021 13:27:19 GMT-0500 (GMT-05:00),False,False,1
429,274,2.0,1,90.0,1,11.0,Thu Dec 23 2021 12:54:43 GMT-0500 (Eastern Standard Time),True,True,1
439,411,2.0,1,80.0,1,17.0,Wed Dec 22 2021 15:45:18 GMT-0800 (Pacific Standard Time),True,True,1
440,417,2.0,1,60.0,1,26.0,Tue Dec 21 2021 11:38:19 GMT-0500 (Eastern Standard Time),True,False,-1
449,358,1.0,1,80.0,1,29.0,Tue Dec 21 2021 16:00:47 GMT-0500 (Eastern Standard Time),True,False,-1
451,173,1.0,-1,30.0,-1,33.0,Wed Dec 22 2021 12:53:27 GMT-0500 (Eastern Standard Time),True,True,-1
454,278,2.0,1,80.0,1,3.0,Wed Dec 22 2021 12:30:14 GMT-0500 (Eastern Standard Time),True,True,1
457,125,1.0,1,80.0,1,36.0,Wed Dec 22 2021 11:39:29 GMT-0500 (Eastern Standard Time),True,False,-1
461,415,0.0,1,0.0,1,21.0,Wed Dec 22 2021 13:26:57 GMT-0600 (Central Standard Time),True,False,-1
462,328,0.0,-1,0.0,-1,21.0,Thu Dec 23 2021 17:08:26 GMT-0500 (Eastern Standard Time),True,True,-1
463,211,1.0,-1,40.0,-1,16.0,Thu Dec 23 2021 14:51:50 GMT-0800 (Pacific Standard Time),False,False,1
471,391,2.0,-1,100.0,1,8.0,Wed Dec 22 2021 12:36:39 GMT-0800 (Pacific Standard Time),False,True,1
476,359,2.0,1,50.0,-1,31.0,Thu Dec 23 2021 16:53:51 GMT-0500 (Colombia Standard Time),True,True,-1
479,431,1.0,1,50.0,1,8.0,Tue Dec 21 2021 12:19:37 GMT-0600 (Central Standard Time),False,True,1
488,211,1.0,1,80.0,1,30.0,Thu Dec 23 2021 14:51:41 GMT-0800 (Pacific Standard Time),True,False,-1
490,62,2.0,-1,70.0,-1,1.0,Tue Dec 21 2021 13:37:41 GMT-0800 (Pacific Standard Time),True,False,1
492,168,2.0,1,90.0,1,21.0,Wed Dec 22 2021 11:54:21 GMT-0500 (Eastern Standard Time),True,False,-1
493,155,1.0,1,90.0,1,27.0,Wed Dec 22 2021 11:37:10 GMT-0600 (Central Standard Time),True,False,-1
495,159,0.0,1,90.0,1,7.0,Wed Dec 22 2021 10:54:55 GMT-0600 (Central Standard Time),True,True,1
500,260,1.0,1,100.0,1,4.0,Thu Dec 23 2021 13:29:53 GMT-0600 (Central Standard Time),True,True,1
501,291,0.0,-1,10.0,-1,34.0,Tue Dec 21 2021 16:18:04 GMT-0800 (Pacific Standard Time),True,True,-1
504,185,2.0,1,70.0,-1,26.0,Fri Dec 24 2021 10:31:37 GMT-0500 (GMT-05:00),True,True,-1
508,366,0.0,1,90.0,1,3.0,Wed Dec 22 2021 13:51:39 GMT-0500 (Eastern Standard Time),True,True,1
512,418,0.0,-1,10.0,-1,4.0,Wed Dec 22 2021 13:04:19 GMT-0500 (Eastern Standard Time),True,False,1
518,226,1.0,1,70.0,1,35.0,Wed Dec 22 2021 11:48:44 GMT-0500 (Eastern Standard Time),False,False,-1
520,237,0.0,1,90.0,1,29.0,Mon Dec 27 2021 12:14:40 GMT-0600 (Central Standard Time),True,False,-1
525,177,1.0,-1,30.0,-1,19.0,Wed Dec 22 2021 17:05:11 GMT-0600 (Central Standard Time),False,False,1
531,74,0.0,1,30.0,1,22.0,Wed Dec 22 2021 16:19:05 GMT-0500 (Eastern Standard Time),True,False,-1
535,104,1.0,1,70.0,1,37.0,Thu Dec 23 2021 13:17:15 GMT-0500 (Eastern Standard Time),False,False,-1
536,208,2.0,1,60.0,1,9.0,Thu Dec 23 2021 17:01:29 GMT-0600 (Central Standard Time),False,True,1
543,369,0.0,1,80.0,1,7.0,Wed Dec 22 2021 14:34:30 GMT-0500 (Eastern Standard Time),True,True,1
552,168,2.0,1,80.0,-1,31.0,Wed Dec 22 2021 11:55:22 GMT-0500 (Eastern Standard Time),True,True,-1
554,78,0.0,1,40.0,1,11.0,Wed Dec 22 2021 11:27:24 GMT-0800 (Pacific Standard Time),True,True,1
558,1,1.0,1,90.0,1,36.0,Wed Dec 22 2021 11:00:51 GMT-0800 (Pacific Standard Time),True,False,-1
561,467,2.0,1,70.0,1,0.0,Wed Dec 22 2021 11:26:23 GMT-0800 (Pacific Standard Time),True,True,1
562,110,0.0,1,70.0,1,3.0,Wed Dec 22 2021 12:50:10 GMT-0800 (Pacific Standard Time),True,True,1
570,347,1.0,1,90.0,1,4.0,Tue Dec 21 2021 15:59:01 GMT-0600 (Central Standard Time),True,True,1
572,103,1.0,-1,50.0,-1,16.0,Tue Dec 21 2021 14:28:12 GMT-0600 (Central Standard Time),False,False,1
583,304,2.0,1,20.0,-1,8.0,Thu Dec 23 2021 15:14:52 GMT-0600 (Central Standard Time),False,False,1
587,113,0.0,1,80.0,1,10.0,Thu Dec 23 2021 12:40:10 GMT-0800 (Pacific Standard Time),True,True,1
589,317,2.0,-1,70.0,-1,31.0,Thu Dec 23 2021 22:57:49 GMT-0600 (Central Standard Time),True,True,-1
590,83,1.0,1,80.0,1,25.0,Wed Dec 22 2021 15:27:10 GMT-0500 (Eastern Standard Time),False,False,-1
599,464,0.0,-1,50.0,-1,16.0,Thu Dec 23 2021 11:17:11 GMT-0500 (Eastern Standard Time),False,False,1
600,48,1.0,1,50.0,1,1.0,Tue Dec 21 2021 12:20:20 GMT-0800 (Pacific Standard Time),True,True,1
602,281,2.0,1,60.0,-1,24.0,Wed Dec 22 2021 16:13:33 GMT-0500 (Eastern Standard Time),True,True,-1
603,306,1.0,-1,20.0,-1,13.0,Wed Dec 22 2021 10:49:55 GMT-0800 (Pacific Standard Time),True,False,1
604,295,2.0,1,50.0,-1,34.0,Thu Dec 23 2021 10:25:03 GMT-0500 (Eastern Standard Time),True,True,-1
605,86,2.0,1,60.0,1,12.0,Fri Dec 24 2021 10:38:55 GMT-0500 (Eastern Standard Time),True,True,1
609,290,0.0,1,100.0,1,5.0,Tue Dec 21 2021 15:27:25 GMT-0600 (Central Standard Time),True,True,1
610,296,1.0,1,0.0,1,3.0,Tue Dec 21 2021 15:35:14 GMT-0600 (Central Standard Time),True,True,1
612,98,1.0,-1,70.0,-1,16.0,Wed Dec 22 2021 10:58:42 GMT-0500 (Eastern Standard Time),False,False,1
613,295,2.0,-1,70.0,-1,20.0,Thu Dec 23 2021 10:24:41 GMT-0500 (Eastern Standard Time),True,True,-1
616,73,0.0,1,50.0,1,38.0,Thu Dec 23 2021 10:30:59 GMT-0600 (Central Standard Time),False,False,-1
620,46,2.0,-1,0.0,-1,29.0,Tue Dec 21 2021 11:31:19 GMT-0500 (Eastern Standard Time),True,True,-1
621,398,0.0,-1,0.0,-1,31.0,Tue Dec 21 2021 12:43:36 GMT-0500 (Eastern Standard Time),True,True,-1
628,68,2.0,1,80.0,1,23.0,Wed Dec 22 2021 12:49:59 GMT-0600 (Central Standard Time),False,False,-1
630,168,2.0,1,80.0,1,27.0,Wed Dec 22 2021 11:53:40 GMT-0500 (Eastern Standard Time),True,False,-1
634,267,2.0,1,70.0,1,5.0,Wed Dec 22 2021 10:35:41 GMT-0600 (Central Standard Time),True,True,1
637,138,2.0,1,80.0,1,30.0,Tue Dec 21 2021 12:36:15 GMT-0800 (Pacific Standard Time),True,False,-1
638,295,2.0,-1,80.0,-1,19.0,Thu Dec 23 2021 10:26:36 GMT-0500 (Eastern Standard Time),False,False,1
641,386,2.0,-1,0.0,-1,31.0,Tue Dec 21 2021 16:42:40 GMT-0600 (Central Standard Time),True,True,-1
642,6,2.0,-1,70.0,-1,19.0,Tue Dec 21 2021 12:12:43 GMT-0500 (Eastern Standard Time),False,False,1
645,25,2.0,1,40.0,-1,22.0,Tue Dec 21 2021 13:17:30 GMT-0800 (Pacific Standard Time),True,True,-1
646,279,1.0,1,90.0,1,33.0,Thu Dec 23 2021 10:45:14 GMT-0800 (Pacific Standard Time),True,False,-1
649,190,1.0,1,70.0,1,17.0,Thu Dec 23 2021 14:59:12 GMT-0500 (Eastern Standard Time),True,True,1
650,350,2.0,1,50.0,1,27.0,Wed Dec 22 2021 12:11:27 GMT-0800 (Pacific Standard Time),True,False,-1
651,284,1.0,-1,70.0,-1,14.0,Wed Dec 22 2021 16:09:20 GMT-0600 (Central Standard Time),True,False,1
653,233,0.0,1,90.0,1,12.0,Wed Dec 22 2021 13:40:22 GMT-0500 (Eastern Standard Time),True,True,1
656,206,2.0,1,80.0,-1,30.0,Wed Dec 22 2021 10:18:46 GMT-0500 (Eastern Standard Time),True,True,-1
657,175,1.0,1,80.0,1,21.0,Tue Dec 21 2021 13:03:23 GMT-0600 (Central Standard Time),True,False,-1
659,68,2.0,1,70.0,1,36.0,Wed Dec 22 2021 12:51:31 GMT-0600 (Central Standard Time),True,False,-1
660,457,1.0,-1,40.0,-1,16.0,Wed Dec 22 2021 12:46:36 GMT-0500 (Eastern Standard Time),False,False,1
662,159,0.0,-1,70.0,-1,11.0,Wed Dec 22 2021 10:54:29 GMT-0600 (Central Standard Time),True,False,1
668,211,1.0,1,50.0,1,27.0,Thu Dec 23 2021 14:50:19 GMT-0800 (Pacific Standard Time),True,False,-1
673,390,0.0,1,60.0,1,34.0,Wed Dec 22 2021 12:37:02 GMT-0600 (Central Standard Time),True,False,-1
674,79,1.0,-1,10.0,-1,9.0,Tue Dec 21 2021 16:07:05 GMT-0800 (Pacific Standard Time),False,False,1
679,221,1.0,1,90.0,1,38.0,Thu Dec 23 2021 14:45:05 GMT-0500 (Eastern Standard Time),False,False,-1
680,238,0.0,1,90.0,1,21.0,Thu Dec 23 2021 10:24:51 GMT-0500 (Eastern Standard Time),True,False,-1
682,231,1.0,-1,90.0,-1,27.0,Wed Dec 22 2021 13:58:04 GMT-0500 (Colombia Standard Time),True,True,-1
699,119,2.0,-1,0.0,-1,4.0,Wed Dec 22 2021 10:18:09 GMT-0600 (Central Standard Time),True,False,1
702,396,0.0,1,80.0,1,5.0,Thu Dec 23 2021 19:13:58 GMT-0500 (GMT-05:00),True,True,1
711,445,0.0,1,80.0,1,7.0,Thu Dec 23 2021 10:28:49 GMT-0600 (Central Standard Time),True,True,1
715,232,1.0,1,80.0,1,32.0,Thu Dec 23 2021 10:23:32 GMT-0800 (Pacific Standard Time),True,False,-1
718,63,2.0,1,0.0,-1,16.0,Wed Dec 22 2021 15:26:22 GMT-0800 (Pacific Standard Time),False,False,1
725,148,1.0,-1,90.0,-1,8.0,Wed Dec 22 2021 11:50:05 GMT-0800 (Pacific Standard Time),False,False,1
731,251,1.0,1,100.0,1,7.0,Thu Dec 23 2021 13:23:23 GMT-0500 (Eastern Standard Time),True,True,1
747,362,2.0,1,60.0,1,38.0,Wed Dec 22 2021 10:55:41 GMT-0600 (Central Standard Time),False,False,-1
748,7,2.0,-1,0.0,-1,1.0,Tue Dec 21 2021 15:53:34 GMT-0800 (Pacific Standard Time),True,False,1
761,45,1.0,1,90.0,1,11.0,Tue Dec 21 2021 14:38:46 GMT-0500 (Eastern Standard Time),True,True,1
765,201,2.0,-1,10.0,-1,34.0,Wed Dec 22 2021 12:14:58 GMT-0600 (Central Standard Time),True,True,-1
767,325,0.0,1,0.0,1,6.0,Thu Dec 23 2021 14:55:48 GMT-0500 (Eastern Standard Time),True,True,1
769,114,1.0,-1,80.0,-1,10.0,Thu Dec 23 2021 15:34:06 GMT-0800 (Pacific Standard Time),True,False,1
772,397,0.0,1,80.0,1,27.0,Tue Dec 21 2021 16:28:30 GMT-0600 (Central Standard Time),True,False,-1
773,271,2.0,-1,0.0,-1,34.0,Wed Dec 22 2021 11:17:08 GMT-0500 (Eastern Standard Time),True,True,-1
775,308,1.0,1,80.0,1,15.0,Tue Dec 21 2021 12:04:47 GMT-0600 (Central Standard Time),True,True,1
778,257,1.0,1,80.0,1,37.0,Tue Dec 21 2021 11:51:15 GMT-0600 (Central Standard Time),False,False,-1
780,370,0.0,-1,80.0,-1,39.0,Tue Dec 21 2021 16:21:29 GMT-0600 (Central Standard Time),True,True,-1
785,433,2.0,1,70.0,1,39.0,Thu Dec 23 2021 14:40:14 GMT-0500 (GMT-05:00),True,False,-1
792,449,0.0,1,10.0,1,35.0,Wed Dec 22 2021 12:50:42 GMT-0500 (Eastern Standard Time),False,False,-1
795,27,2.0,1,80.0,1,25.0,Thu Dec 23 2021 12:41:36 GMT-0800 (Pacific Standard Time),False,False,-1
798,43,1.0,-1,60.0,-1,23.0,Tue Dec 21 2021 12:50:37 GMT-0800 (Pacific Standard Time),False,True,-1
804,355,1.0,1,60.0,1,31.0,Tue Dec 21 2021 11:26:13 GMT-0500 (Eastern Standard Time),True,False,-1
808,286,1.0,-1,0.0,-1,20.0,Wed Dec 22 2021 11:24:49 GMT-0500 (Eastern Standard Time),True,True,-1
820,378,1.0,1,30.0,1,12.0,Wed Dec 22 2021 12:09:39 GMT-0500 (Eastern Standard Time),True,True,1
822,234,1.0,-1,20.0,-1,12.0,Wed Dec 22 2021 14:08:07 GMT-0500 (Eastern Standard Time),True,False,1
825,76,0.0,1,0.0,1,33.0,Thu Dec 23 2021 15:06:24 GMT-0500 (Eastern Standard Time),True,False,-1
827,377,0.0,1,90.0,1,20.0,Tue Dec 21 2021 11:28:25 GMT-0600 (Central Standard Time),True,False,-1
830,141,1.0,1,50.0,1,1.0,Wed Dec 22 2021 16:26:19 GMT-0800 (Pacific Standard Time),True,True,1
833,381,2.0,1,60.0,1,38.0,Tue Dec 21 2021 20:07:32 GMT-0500 (Colombia Standard Time),False,False,-1
835,126,0.0,-1,0.0,-1,3.0,Wed Dec 22 2021 16:44:10 GMT-0500 (Eastern Standard Time),True,False,1
836,135,0.0,-1,0.0,-1,35.0,Wed Dec 22 2021 17:00:22 GMT-0600 (Central Standard Time),False,True,-1
845,277,1.0,1,70.0,1,0.0,Tue Dec 21 2021 14:53:54 GMT-0500 (Eastern Standard Time),True,True,1
851,347,1.0,1,70.0,1,2.0,Tue Dec 21 2021 15:58:18 GMT-0600 (Central Standard Time),True,True,1
856,310,0.0,1,80.0,1,17.0,Thu Dec 23 2021 17:10:34 GMT-0800 (Pacific Standard Time),True,True,1
868,143,2.0,1,80.0,1,30.0,Wed Dec 22 2021 12:29:51 GMT-0500 (Eastern Standard Time),True,False,-1
871,413,1.0,1,80.0,1,19.0,Tue Dec 21 2021 13:14:08 GMT-0500 (Eastern Standard Time),False,True,1
872,110,0.0,1,80.0,1,13.0,Wed Dec 22 2021 12:52:52 GMT-0800 (Pacific Standard Time),True,True,1
878,35,1.0,-1,10.0,-1,24.0,Tue Dec 21 2021 11:56:29 GMT-0600 (Central Standard Time),True,True,-1
885,199,1.0,1,70.0,1,10.0,Wed Dec 22 2021 10:43:30 GMT-0500 (Eastern Standard Time),True,True,1
890,423,1.0,1,80.0,1,14.0,Wed Dec 22 2021 12:51:01 GMT-0500 (Eastern Standard Time),True,True,1
892,288,2.0,1,60.0,-1,26.0,Wed Dec 22 2021 10:26:12 GMT-0500 (Eastern Standard Time),True,True,-1
903,282,1.0,1,40.0,1,32.0,Wed Dec 22 2021 11:27:35 GMT-0500 (Eastern Standard Time),True,False,-1
907,198,1.0,-1,0.0,-1,38.0,Wed Dec 22 2021 11:53:35 GMT-0500 (Eastern Standard Time),False,True,-1
909,418,0.0,-1,10.0,-1,26.0,Wed Dec 22 2021 13:03:43 GMT-0500 (Eastern Standard Time),True,True,-1
911,289,2.0,1,90.0,-1,16.0,Thu Dec 23 2021 10:14:15 GMT-0800 (Pacific Standard Time),False,False,1
916,148,1.0,1,60.0,1,12.0,Wed Dec 22 2021 11:45:18 GMT-0800 (Pacific Standard Time),True,True,1
921,326,1.0,1,50.0,1,18.0,Thu Dec 23 2021 19:13:25 GMT-0500 (Eastern Standard Time),False,True,1
929,293,2.0,-1,100.0,-1,37.0,Wed Dec 22 2021 12:34:01 GMT-0500 (Eastern Standard Time),False,True,-1
934,112,1.0,-1,60.0,-1,27.0,Tue Dec 21 2021 11:41:37 GMT-0900 (Alaska Standard Time),True,True,-1
